Transaction_ID,Transaction_Date,Amount (AUD),Merchant,Payment_Method,Terminal_ID,Location,Merchant_Type,Risk_Score (1-10)
TXN880626,2024-01-27,76.37,Online Store,Net Banking,TERM601,"Melbourne, VIC",Fuel Station,5
TXN748276,2024-01-03,35.75,Restaurant,Credit Card,TERM642,"Adelaide, SA",Dining,2
TXN245610,2024-02-19,264.87,Supermarket,Debit Card,TERM414,"Adelaide, SA",Fuel Station,10
TXN708720,2024-01-04,109.19,Supermarket,UPI,TERM347,"Brisbane, QLD",Retail Grocery,10
TXN697129,2024-02-03,150.49,Supermarket,Net Banking,TERM289,"Brisbane, QLD",Dining,8
TXN922926,2024-01-17,361.88,Supermarket,Cash,TERM722,"Adelaide, SA",Dining,3
TXN975559,2024-02-08,456.89,Electronics,Cash,TERM646,"Brisbane, QLD",Fashion,6
TXN240334,2024-02-09,204.15,Electronics,Net Banking,TERM512,"Sydney, NSW",Retail Grocery,3
TXN333331,2024-01-19,439.28,Supermarket,Credit Card,TERM287,"Sydney, NSW",Fuel Station,9
TXN859708,2024-02-14,185.27,Clothing,Cash,TERM624,"Perth, WA",Electronics,3
TXN467887,2024-02-09,220.23,Supermarket,Debit Card,TERM184,"Brisbane, QLD",Electronics,1
TXN102557,2024-01-16,413.58,Electronics,Credit Card,TERM597,"Sydney, NSW",E-Commerce,9
TXN600045,2024-02-09,282.2,Restaurant,Debit Card,TERM316,"Adelaide, SA",Fuel Station,1
TXN726783,2024-02-01,30.72,Clothing,Credit Card,TERM487,"Sydney, NSW",Retail Grocery,2
TXN916344,2024-02-16,486.75,Restaurant,Debit Card,TERM611,"Sydney, NSW",Retail Grocery,8
TXN575774,2024-01-16,263.42,Supermarket,Debit Card,TERM875,"Adelaide, SA",Electronics,6
TXN153893,2024-01-07,321.22,Electronics,Credit Card,TERM498,"Brisbane, QLD",Electronics,4
TXN305570,2024-01-16,367.34,Clothing,Net Banking,TERM656,"Melbourne, VIC",Electronics,8
TXN114291,2024-02-05,334.69,Restaurant,Net Banking,TERM490,"Adelaide, SA",Fuel Station,9
TXN716242,2024-01-03,360.91,Online Store,Cash,TERM800,"Melbourne, VIC",E-Commerce,7
TXN479505,2024-02-17,189.99,Supermarket,UPI,TERM272,"Melbourne, VIC",E-Commerce,7
TXN375601,2024-01-20,364.72,Electronics,Credit Card,TERM625,"Sydney, NSW",E-Commerce,1
TXN851610,2024-02-02,243.11,Electronics,Cash,TERM810,"Perth, WA",Fashion,3
TXN627057,2024-01-22,29.11,Supermarket,Debit Card,TERM895,"Melbourne, VIC",Dining,3
TXN629883,2024-01-13,18.92,Clothing,Net Banking,TERM598,"Sydney, NSW",Retail Grocery,3
TXN929087,2024-02-06,90.51,Restaurant,Net Banking,TERM297,"Adelaide, SA",Fashion,9
TXN686687,2024-01-06,441.97,Restaurant,Debit Card,TERM226,"Adelaide, SA",E-Commerce,9
TXN859704,2024-01-22,28.29,Clothing,Debit Card,TERM235,"Adelaide, SA",Electronics,7
TXN770926,2024-01-31,455.24,Electronics,UPI,TERM214,"Perth, WA",Fuel Station,1
TXN865163,2024-01-28,224.29,Supermarket,UPI,TERM913,"Sydney, NSW",Retail Grocery,1
TXN277463,2024-01-04,396.02,Supermarket,Debit Card,TERM205,"Adelaide, SA",Fashion,9
TXN109988,2024-02-13,202.87,Supermarket,UPI,TERM398,"Melbourne, VIC",Dining,10
TXN582401,2024-02-15,239.42,Clothing,Cash,TERM694,"Brisbane, QLD",Fashion,9
TXN125124,2024-01-31,115.89,Electronics,Debit Card,TERM745,"Brisbane, QLD",Dining,2
TXN591563,2024-01-15,56.34,Restaurant,Credit Card,TERM560,"Melbourne, VIC",Fashion,9
TXN193873,2024-01-30,287.8,Clothing,Net Banking,TERM809,"Melbourne, VIC",Retail Grocery,9
TXN229120,2024-01-17,166.42,Supermarket,Cash,TERM576,"Sydney, NSW",Fuel Station,6
TXN632327,2024-02-07,359.99,Electronics,UPI,TERM184,"Adelaide, SA",Dining,6
TXN353663,2024-01-12,484.31,Restaurant,Cash,TERM808,"Melbourne, VIC",Dining,9
TXN189844,2024-02-07,157.09,Clothing,UPI,TERM259,"Melbourne, VIC",Electronics,3
TXN684359,2024-02-14,277.32,Supermarket,Cash,TERM821,"Melbourne, VIC",Electronics,1
TXN488332,2024-02-06,294.92,Clothing,Debit Card,TERM329,"Sydney, NSW",Retail Grocery,2
TXN979625,2024-01-15,115.28,Restaurant,Cash,TERM488,"Perth, WA",Dining,7
TXN980441,2024-01-16,456.95,Online Store,Net Banking,TERM977,"Sydney, NSW",Fashion,1
TXN161617,2024-01-13,179.98,Electronics,UPI,TERM198,"Melbourne, VIC",E-Commerce,4
TXN893047,2024-02-08,288.72,Electronics,Debit Card,TERM434,"Sydney, NSW",Dining,3
TXN847836,2024-01-28,479.79,Online Store,Net Banking,TERM343,"Sydney, NSW",Dining,4
TXN500945,2024-01-02,466.55,Electronics,Debit Card,TERM539,"Sydney, NSW",Fashion,8
TXN464214,2024-01-19,27.74,Online Store,Net Banking,TERM912,"Brisbane, QLD",Electronics,10
TXN160731,2024-02-05,76.48,Online Store,Cash,TERM748,"Melbourne, VIC",E-Commerce,6
TXN172087,2024-01-13,454.44,Online Store,UPI,TERM174,"Melbourne, VIC",Electronics,6
TXN281616,2024-02-01,347.22,Clothing,Cash,TERM376,"Melbourne, VIC",E-Commerce,10
TXN124657,2024-02-17,185.04,Restaurant,Debit Card,TERM790,"Adelaide, SA",E-Commerce,8
TXN453931,2024-01-26,26.47,Online Store,UPI,TERM183,"Adelaide, SA",Retail Grocery,1
TXN660555,2024-01-06,287.32,Electronics,Cash,TERM520,"Sydney, NSW",Fashion,7
TXN418529,2024-01-25,351.94,Electronics,UPI,TERM624,"Sydney, NSW",Electronics,6
TXN455222,2024-02-08,20.2,Online Store,Debit Card,TERM366,"Perth, WA",Retail Grocery,5
TXN920815,2024-01-25,317.38,Supermarket,Credit Card,TERM377,"Perth, WA",Fuel Station,7
TXN996258,2024-02-02,189.57,Restaurant,UPI,TERM395,"Perth, WA",Fashion,2
TXN301974,2024-01-26,323.81,Supermarket,UPI,TERM797,"Perth, WA",Dining,6
TXN570536,2024-02-02,191.56,Restaurant,Cash,TERM434,"Adelaide, SA",Electronics,5
TXN403678,2024-02-20,415.92,Supermarket,Cash,TERM999,"Perth, WA",Dining,10
TXN225006,2024-02-07,362.04,Restaurant,Net Banking,TERM625,"Brisbane, QLD",Dining,1
TXN413018,2024-01-27,61.38,Supermarket,UPI,TERM517,"Perth, WA",Electronics,10
TXN164621,2024-01-30,129.86,Restaurant,UPI,TERM339,"Brisbane, QLD",Dining,1
TXN662783,2024-01-26,60.49,Online Store,Debit Card,TERM243,"Brisbane, QLD",Electronics,4
TXN619724,2024-02-18,211.71,Supermarket,UPI,TERM457,"Adelaide, SA",Fuel Station,6
TXN393898,2024-01-14,130.83,Restaurant,Credit Card,TERM898,"Melbourne, VIC",Fashion,9
TXN587604,2024-01-25,50.1,Restaurant,Credit Card,TERM355,"Perth, WA",Retail Grocery,9
TXN690581,2024-02-01,458.86,Online Store,UPI,TERM880,"Melbourne, VIC",Dining,1
TXN646988,2024-02-05,134.31,Electronics,Cash,TERM432,"Adelaide, SA",Retail Grocery,1
TXN428712,2024-02-05,330.12,Restaurant,Net Banking,TERM146,"Sydney, NSW",Fuel Station,7
TXN654524,2024-02-13,354.88,Restaurant,Debit Card,TERM365,"Melbourne, VIC",Retail Grocery,4
TXN532843,2024-02-03,459.49,Clothing,Credit Card,TERM870,"Adelaide, SA",Dining,9
TXN994951,2024-02-20,304.41,Electronics,Net Banking,TERM652,"Brisbane, QLD",Dining,10
TXN451132,2024-02-06,191.91,Restaurant,Credit Card,TERM133,"Perth, WA",Electronics,3
TXN513442,2024-02-02,237.01,Restaurant,Credit Card,TERM932,"Sydney, NSW",Retail Grocery,8
TXN267888,2024-02-17,210.96,Clothing,Net Banking,TERM696,"Perth, WA",Fashion,5
TXN193592,2024-01-05,269.11,Online Store,Debit Card,TERM312,"Melbourne, VIC",Dining,10
TXN517213,2024-01-19,161.41,Electronics,Net Banking,TERM774,"Sydney, NSW",Electronics,3
