Date,Cash_Rate (%),Unemployment_Rate (%),CPI,GDP_Growth (%),Inflation_Rate (%),Exchange_Rate (USD/AUD)
2023-01-01,3.79,5.9,99.8,1.77,3.89,1.57
2023-01-31,3.41,5.7,101.4,2.24,2.26,1.57
2023-03-02,3.17,4.9,100.9,2.06,3.94,1.59
2023-04-01,5.02,5.1,100.9,1.63,3.76,1.55
2023-05-01,3.35,6.5,102.4,2.94,4.45,1.47
2023-05-31,3.64,5.4,103.0,2.11,4.05,1.52
2023-06-30,3.37,5.2,103.8,1.57,3.95,1.54
2023-07-30,3.51,5.0,103.4,3.34,3.13,1.33
2023-08-29,3.38,4.3,104.7,2.98,4.3,1.45
2023-09-28,4.19,5.9,104.0,2.55,2.35,1.35
2023-10-28,4.43,6.2,105.0,3.01,3.91,1.57
2023-11-27,5.36,4.9,105.7,1.85,4.4,1.59
2023-12-27,4.2,4.5,105.2,2.63,4.08,1.37
2024-01-26,5.47,6.1,105.6,2.35,2.85,1.57
2024-02-25,4.78,5.7,107.3,1.57,2.46,1.55
2024-03-26,4.12,4.2,107.2,1.98,4.39,1.31
2024-04-25,4.98,4.0,107.7,2.68,2.0,1.56
2024-05-25,4.99,4.9,109.5,2.6,3.14,1.47
2024-06-24,3.0,6.3,109.7,3.08,4.0,1.42
2024-07-24,5.23,4.4,110.0,2.89,3.53,1.41
2024-08-23,3.77,4.1,109.6,1.77,2.96,1.47
2024-09-22,3.16,5.3,110.4,2.93,3.11,1.32
2024-10-22,4.67,6.2,111.3,1.8,3.96,1.59
2024-11-21,3.1,4.6,112.4,1.67,3.29,1.56
