Transaction_ID,Transaction_Date,Amount,Merchant,Payment_Method
TXN464347,2024-02-20,358.24,Clothing,Debit Card
TXN306575,2024-01-05,68.3,Online Store,Debit Card
TXN952027,2024-01-19,228.71,Electronics,Credit Card
TXN340672,2024-02-05,407.67,Electronics,Cash
TXN251756,2024-01-14,436.55,Electronics,Credit Card
TXN625625,2024-01-19,270.62,Restaurant,Debit Card
TXN236019,2024-02-06,414.91,Restaurant,Cash
TXN387049,2024-02-03,165.83,Electronics,Cash
TXN103697,2024-01-27,203.11,Supermarket,Debit Card
TXN417082,2024-01-08,486.6,Online Store,Debit Card
TXN667280,2024-01-24,37.88,Supermarket,Debit Card
TXN431691,2024-01-02,406.43,Electronics,Net Banking
TXN966469,2024-02-12,228.12,Supermarket,Credit Card
TXN225425,2024-01-25,235.66,Clothing,Cash
TXN534989,2024-01-02,483.69,Clothing,Cash
TXN405784,2024-02-15,193.67,Restaurant,Debit Card
TXN262331,2024-01-14,127.01,Restaurant,UPI
TXN184536,2024-01-30,437.45,Restaurant,Credit Card
TXN936021,2024-01-16,477.19,Clothing,Cash
TXN503569,2024-02-10,450.84,Restaurant,Net Banking
TXN207779,2024-01-01,32.19,Supermarket,Net Banking
TXN414098,2024-01-21,116.06,Clothing,UPI
TXN772758,2024-01-21,403.09,Clothing,Debit Card
TXN318417,2024-01-20,481.84,Supermarket,Credit Card
TXN329791,2024-02-19,360.02,Clothing,Debit Card
TXN248801,2024-02-11,73.48,Restaurant,Debit Card
TXN327965,2024-02-16,272.39,Electronics,Net Banking
TXN371672,2024-02-09,471.63,Restaurant,Credit Card
TXN166405,2024-01-08,136.41,Supermarket,Debit Card
TXN282032,2024-02-13,98.39,Online Store,Net Banking
TXN764809,2024-02-13,327.75,Electronics,UPI
TXN697280,2024-01-27,145.9,Clothing,Net Banking
TXN695429,2024-02-16,206.57,Electronics,UPI
TXN351694,2024-01-22,281.72,Online Store,Credit Card
TXN824012,2024-01-22,419.25,Online Store,UPI
TXN186673,2024-01-17,194.3,Supermarket,Cash
TXN449149,2024-01-20,182.42,Restaurant,Debit Card
TXN983044,2024-01-26,86.98,Clothing,Cash
TXN618175,2024-01-08,155.32,Clothing,Cash
TXN950505,2024-01-03,79.36,Restaurant,Debit Card
TXN953200,2024-02-04,298.46,Online Store,Debit Card
TXN884047,2024-01-31,272.43,Supermarket,Net Banking
TXN557962,2024-01-23,115.15,Restaurant,Cash
TXN871520,2024-02-12,403.8,Restaurant,UPI
TXN315827,2024-01-23,168.36,Supermarket,Credit Card
TXN744562,2024-01-31,421.12,Online Store,Net Banking
TXN975893,2024-01-26,317.37,Supermarket,UPI
TXN674086,2024-01-25,59.23,Electronics,Credit Card
TXN161154,2024-02-09,444.51,Supermarket,UPI
TXN212991,2024-01-26,133.4,Clothing,Cash
TXN113586,2024-02-01,271.76,Restaurant,Net Banking
TXN613647,2024-02-11,199.25,Restaurant,Credit Card
TXN176111,2024-02-08,267.42,Clothing,Net Banking
TXN709925,2024-01-12,72.05,Supermarket,UPI
TXN573654,2024-01-21,467.38,Supermarket,Cash
TXN540989,2024-01-20,278.28,Electronics,Credit Card
TXN538395,2024-02-20,238.12,Clothing,UPI
TXN713604,2024-01-26,262.82,Electronics,Net Banking
TXN723691,2024-01-08,88.84,Supermarket,Net Banking
TXN669160,2024-02-09,90.64,Clothing,UPI
TXN543783,2024-01-03,389.89,Supermarket,Debit Card
TXN901124,2024-01-05,145.83,Online Store,Credit Card
TXN878320,2024-01-23,182.02,Electronics,UPI
TXN930433,2024-02-11,59.47,Supermarket,Cash
TXN704136,2024-01-20,119.42,Clothing,Debit Card
TXN224172,2024-01-05,40.48,Supermarket,Credit Card
TXN599261,2024-02-09,145.29,Electronics,Debit Card
TXN787821,2024-01-04,89.28,Electronics,Credit Card
TXN571440,2024-01-29,128.44,Restaurant,UPI
TXN134114,2024-01-09,307.32,Supermarket,UPI
TXN612821,2024-01-03,166.24,Clothing,Credit Card
TXN690007,2024-01-03,39.51,Electronics,Net Banking
TXN651721,2024-02-15,99.48,Clothing,Debit Card
TXN624095,2024-02-16,100.41,Supermarket,Net Banking
TXN246492,2024-01-27,16.75,Clothing,UPI
TXN378872,2024-01-10,96.26,Electronics,Net Banking
TXN702713,2024-02-06,51.89,Electronics,Net Banking
TXN191760,2024-02-04,42.79,Supermarket,Net Banking
TXN987302,2024-01-26,228.03,Electronics,UPI
TXN468154,2024-02-04,16.19,Online Store,Net Banking
TXN677703,2024-01-12,253.37,Supermarket,Debit Card
TXN626072,2024-02-17,46.32,Electronics,Cash
TXN875915,2024-02-07,413.1,Online Store,UPI
TXN664306,2024-02-08,337.56,Clothing,Cash
TXN683582,2024-01-25,276.4,Clothing,Cash
TXN463661,2024-01-26,399.42,Restaurant,Net Banking
TXN257651,2024-01-04,50.21,Electronics,Credit Card
TXN307635,2024-01-13,363.89,Supermarket,Credit Card
TXN874966,2024-02-18,488.11,Online Store,Debit Card
TXN251482,2024-02-06,210.04,Restaurant,Debit Card
TXN383065,2024-01-02,105.83,Restaurant,Cash
TXN438374,2024-02-12,252.84,Clothing,Debit Card
TXN573371,2024-02-13,230.37,Online Store,Cash
TXN431830,2024-02-14,54.22,Electronics,Net Banking
TXN848348,2024-02-03,314.5,Supermarket,Credit Card
TXN462177,2024-02-20,404.29,Restaurant,UPI
TXN249124,2024-02-09,177.02,Electronics,Net Banking
TXN770142,2024-02-01,226.69,Restaurant,Debit Card
TXN772929,2024-01-08,206.47,Electronics,Cash
TXN781203,2024-01-19,470.44,Restaurant,Debit Card
TXN463287,2024-01-06,445.11,Online Store,Credit Card
TXN956357,2024-01-16,125.26,Online Store,Debit Card
TXN392128,2024-01-08,101.97,Restaurant,Net Banking
TXN739009,2024-01-29,147.54,Supermarket,UPI
TXN274377,2024-02-01,90.42,Restaurant,Debit Card
TXN653889,2024-01-26,231.25,Restaurant,Credit Card
TXN353625,2024-02-17,325.63,Online Store,UPI
TXN527878,2024-01-28,340.24,Supermarket,Credit Card
